county,year,commission
Larue County,2020,47067.06
Leslie County,2020,
Letcher County,2020,16191.45
Lewis County,2020,17013.91
Lincoln County,2020,76469.92
Logan County,2020,27970.89
Madison County,2020,110000
Magoffin County,2020,
Marion County,2020,67904.2
Marshall County,2020,92939.19
Mason County,2020,58036.55
McCracken County,2020,227910.9
McCreary County,2020,
Meade County,2020,42000
Monroe County,2020,
Montgomery County,2020,60319.74
Muhlenberg County,2020,138854.3
Nelson County,2020,8924.79
Nicholas County,2020,
Ohio County,2020,12918.52
Oldham County,2020,231523.01
Powell County,2020,128117.36
Pulaski County,2020,55499.48
Rockcastle County,2020,40700.82
Rowan County,2020,104658.06
Russell County,2020,44443.08
Scott County,2020,37537.61
Shelby County,2020,111471.19
Simpson County,2020,78955.44
Taylor County,2020,43339.24
Todd County,2020,66719.53
Union County,2020,7504.21
Warren County,2020,533144.85
Wayne County,2020,80616.46
Webster County,2020,90992.67
Whitley County,2020,56956.1
Woodford County,2020,64954.66
Statewide,2020,7526412.43
